"NAICS","BEA_Sector","BEA_Summary","BEA_Detail","stateior_Summary","ModelSchema"
"332993","31G","332","33299A","332",""
"3329930","31G","332","33299A","332",""
"33299301","31G","332","33299A","332",""
"3329930100","31G","332","33299A","332",""
"332994","31G","332","33299A","332",""
"3329941","31G","332","33299A","332",""
"33299411","31G","332","33299A","332",""
"3329941100","31G","332","33299A","332",""
"3329944","31G","332","33299A","332",""
"33299441","31G","332","33299A","332",""
"3329944101","31G","332","33299A","332",""
"33299442","31G","332","33299A","332",""
"3329944206","31G","332","33299A","332",""
"33299443","31G","332","33299A","332",""
"3329944311","31G","332","33299A","332",""
"33299444","31G","332","33299A","332",""
"3329944416","31G","332","33299A","332",""
"3329944421","31G","332","33299A","332",""
"3329944426","31G","332","33299A","332",""
"3329944431","31G","332","33299A","332",""
"33299445","31G","332","33299A","332",""
"3329944536","31G","332","33299A","332",""
"3329944541","31G","332","33299A","332",""
"3329944546","31G","332","33299A","332",""
"3329945","31G","332","33299A","332",""
"33299451","31G","332","33299A","332",""
"3329945101","31G","332","33299A","332",""
"332996","31G","332","332996","332",""
"3329960","31G","332","332996","332",""
"33299603","31G","332","332996","332",""
"3329960300","31G","332","332996","332",""
"332999","31G","332","332999","332",""
"3329992","31G","332","332999","332",""
"33299921","31G","332","332999","332",""
"3329992102","31G","332","332999","332",""
"3329992107","31G","332","332999","332",""
"3329992112","31G","332","332999","332",""
"3329995","31G","332","332999","332",""
"33299951","31G","332","332999","332",""
"3329995100","31G","332","332999","332",""
"3329997","31G","332","332999","332",""
"33299971","31G","332","332999","332",""
"3329997100","31G","332","332999","332",""
"3329999","31G","332","332999","332",""
"33299991","31G","332","332999","332",""
"3329999100","31G","332","332999","332",""
"332999B","31G","332","332999","332",""
"332999B1","31G","332","332999","332",""
"332999B100","31G","332","332999","332",""
"332999H","31G","332","332999","332",""
"332999H1","31G","332","332999","332",""
"332999H101","31G","332","332999","332",""
"332999H106","31G","332","332999","332",""
"332999H189","31G","332","332999","332",""
"332999H2","31G","332","332999","332",""
"332999H220","31G","332","332999","332",""
"332999H3","31G","332","332999","332",""
"332999H301","31G","332","332999","332",""
"332999H303","31G","332","332999","332",""
"332999H305","31G","332","332999","332",""
"332999H306","31G","332","332999","332",""
"332999H315","31G","332","332999","332",""
"332999H318","31G","332","332999","332",""
"332999H322","31G","332","332999","332",""
"332999H325","31G","332","332999","332",""
"332999H397","31G","332","332999","332",""
"332999J","31G","332","332999","332",""
"332999J3","31G","332","332999","332",""
"332999J300","31G","332","332999","332",""
"332999L","31G","332","332999","332",""
"332999L1","31G","332","332999","332",""
"332999L101","31G","332","332999","332",""
"332999L2","31G","332","332999","332",""
"332999L206","31G","332","332999","332",""
"333","31G","333","333111","333",""
"333","31G","333","333112","333",""
"333","31G","333","333120","333",""
"333","31G","333","333130","333",""
"333","31G","333","333242","333",""
"333","31G","333","33329A","333",""
"333","31G","333","333314","333",""
"333","31G","333","333316","333",""
"333","31G","333","333318","333",""
"333","31G","333","333413","333",""
"333","31G","333","333414","333",""
"333","31G","333","333415","333",""
"333","31G","333","333511","333",""
"333","31G","333","333514","333",""
"333","31G","333","333517","333",""
"333","31G","333","33351B","333",""
"333","31G","333","333611","333",""
"333","31G","333","333612","333",""
"333","31G","333","333613","333",""
"333","31G","333","333618","333",""
"333","31G","333","333912","333",""
"333","31G","333","33391A","333",""
"333","31G","333","333920","333",""
"333","31G","333","333991","333",""
"333","31G","333","333993","333",""
"333","31G","333","333994","333",""
"333","31G","333","33399A","333",""
"333","31G","333","33399B","333",""
"3331","31G","333","333111","333",""
"3331","31G","333","333112","333",""
"3331","31G","333","333120","333",""
"3331","31G","333","333130","333",""
"33311","31G","333","333111","333",""
"33311","31G","333","333112","333",""
"333111","31G","333","333111","333",""
"3331111","31G","333","333111","333",""
"33311111","31G","333","333111","333",""
"3331111100","31G","333","333111","333",""
"3331114","31G","333","333111","333",""
"33311141","31G","333","333111","333",""
"3331114110","31G","333","333111","333",""
"3331114116","31G","333","333111","333",""
"3331114121","31G","333","333111","333",""
"3331114126","31G","333","333111","333",""
"3331114134","31G","333","333111","333",""
"3331114152","31G","333","333111","333",""
"3331114156","31G","333","333111","333",""
"3331114161","31G","333","333111","333",""
"3331114164","31G","333","333111","333",""
"3331114168","31G","333","333111","333",""
"3331114173","31G","333","333111","333",""
"3331114176","31G","333","333111","333",""
"3331114196","31G","333","333111","333",""
"3331117","31G","333","333111","333",""
"33311171","31G","333","333111","333",""
"3331117101","31G","333","333111","333",""
"3331117108","31G","333","333111","333",""
"3331117111","31G","333","333111","333",""
"3331117118","31G","333","333111","333",""
"3331117121","31G","333","333111","333",""
"3331117128","31G","333","333111","333",""
"3331117131","31G","333","333111","333",""
"3331117138","31G","333","333111","333",""
"3331117141","31G","333","333111","333",""
"3331117148","31G","333","333111","333",""
"3331117151","31G","333","333111","333",""
"3331117158","31G","333","333111","333",""
"3331119","31G","333","333111","333",""
"33311191","31G","333","333111","333",""
"3331119100","31G","333","333111","333",""
"333111A","31G","333","333111","333",""
"333111A1","31G","333","333111","333",""
"333111A101","31G","333","333111","333",""
"333111A111","31G","333","333111","333",""
"333111A121","31G","333","333111","333",""
"333111A131","31G","333","333111","333",""
"333111A141","31G","333","333111","333",""
"333111A151","31G","333","333111","333",""
"333111C","31G","333","333111","333",""
"333111C1","31G","333","333111","333",""
"333111C110","31G","333","333111","333",""
"333111C2","31G","333","333111","333",""
"333111C221","31G","333","333111","333",""
"333111C223","31G","333","333111","333",""
"333111C225","31G","333","333111","333",""
"333111C227","31G","333","333111","333",""
"333111C229","31G","333","333111","333",""
"333111C22A","31G","333","333111","333",""
"333111C22B","31G","333","333111","333",""
"333111C22D","31G","333","333111","333",""
"333111C22E","31G","333","333111","333",""
"333111C22G","31G","333","333111","333",""
"333111C22H","31G","333","333111","333",""
"333111C22J","31G","333","333111","333",""
"333111C22K","31G","333","333111","333",""
"333111C22L","31G","333","333111","333",""
"333111C22M","31G","333","333111","333",""
"333111C22N","31G","333","333111","333",""
"333111E","31G","333","333111","333",""
"333111E1","31G","333","333111","333",""
"333111E101","31G","333","333111","333",""
"333111E109","31G","333","333111","333",""
"333111E115","31G","333","333111","333",""
"333111E121","31G","333","333111","333",""
"333111E135","31G","333","333111","333",""
"333111E141","31G","333","333111","333",""
"333111E149","31G","333","333111","333",""
"333111E151","31G","333","333111","333",""
"333111E158","31G","333","333111","333",""
"333111E159","31G","333","333111","333",""
"333111E161","31G","333","333111","333",""
"333111E169","31G","333","333111","333",""
"333111E171","31G","333","333111","333",""
"333111E181","31G","333","333111","333",""
"333111G","31G","333","333111","333",""
"333111G1","31G","333","333111","333",""
